"query";"intent";"search config";"doc_id";"name";"rank";"relevant";"reasoning"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";6986112;;1;0;"way too small for TV (15”)"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";7945511;;2;0;"way too small for TV (7”) – portable"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";4550412;;3;0;"way too small for TV (19”)"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";7326351;;4;0;"way too small for TV (15”)"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";8205435;;5;0;"way too small for TV (19”)"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";9416928;;6;0;"cleaner – no tv"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";4550458;;7;1;"TV and reasonable size for the time ;)"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";9889724;;8;0;"adapter – no tv"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";4757283;;9;1;"TV and reasonable size for the time ;)"
"lcd tv";"Find / buy a lcd tv in 2012";"hello_world";4876429;;10;0;"cleaner – no tv"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";9924603;;1;0;"Connector kit"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";4879523;;2;0;"Screen protector or cover"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";1945531;;3;1;"it is an iPad"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";2339322;;4;1;"it is an iPad"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";4881142;;5;1;"it is an iPad"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";4881072;;6;1;"it is an iPad"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";4020232;;7;0;"Screen protector or cover"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";2490083;;8;0;"Screen protector or cover"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";9889715;;9;0;"adapter"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"hello_world";5872041;;10;0;"Screen protector or cover"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";3937943;;1;0;"Mouse"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";3937952;;2;0;"Mouse"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";3937952;;3;1;"Keyboard with Touchpad"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";9929052;;4;0;"Microwave oven"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";7331595;;5;0;"MP3 player"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";3438568;;6;1;"Actual touchpad"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";4744842;;7;0;"Dishwasher"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";4747251;;8;0;"Dishwasher"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";2884137;;9;0;"Charger"
"Touchpad";"Find / buy a touchpad – could be anything that is or contains a touchpad";"hello_world";4744405;;10;0;"Dishwasher"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";1232474;"Beats By Dr. Dre - Beats iBeats Earbud Headphones";1;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";9492426;"Beats By Dr. Dre - Beats Tour Earbud Headphones - Black";2;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";1232447;"Beats By Dr. Dre - Beats Solo HD Over-the-Ear Headphones - White";3;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";9836718;"Beats By Dr. Dre - Beats Solo HD Over-the-Ear Headphones - Black";4;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";5667118;"Beats By Dr. Dre - Beats Solo High-Definition Over-the-Ear Headphones - Smartie Blue";5;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";1232483;"Beats By Dr. Dre - Beats Solo High-Definition Over-the-Ear Headphones - Smartie Blue";6;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";9836432;"Beats By Dr. Dre - Beats (Solo HD) RED Edition Over-the-Ear";7;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";8913606;"Beats By Dr. Dre - Beats Studio Over-the-Ear Headphones - Black";8;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";3476048;"Beats By Dr. Dre - Beats Studio Over-the-Ear Headphones - Blue";9;1;"matches the intent"
"Beats";"Find / buy earbuds or headphones of the mentioned brand";"hello_world";4676961;"Beats By Dr. Dre - Beats Mixr Over-the-Ear Headphones - Black";10;1;"matches the intent"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";4854433;;1;0;"apple tv box"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";7032249;;2;0;"way too small for TV (15”)"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";1831054;;3;1;"RCA hdtv"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";9632192;;4;0;"dvd player?"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";9309385;;5;0;"way too small for TV (7”) – portable"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";4740317;;6;1;"toshiba hdtv"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";9522368;;7;0;"way too small for TV (7”) – portable"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";8249843;;8;1;"samsung hdtv"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";9416928;;9;0;"cleaner – no tv"
"lcd tv";"Find / buy a lcd tv in 2012";"ltr_tuned";8265959;;10;0;"photo frame?"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";1945531;;1;1;"matches the intent"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";2339322;;2;1;"matches the intent"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";9924603;;3;0;"Connector kit"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";5064393;;4;0;"samsung tablet"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";9225377;;5;0;"iPod MP3 player"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";4881072;;6;1;"matches the intent"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";3109302;;7;0;"iPod MP3 player"
"ipad";"Find / buy an Ipad in 2012 – should be the actual portable tablet";"ltr_tuned";1151337;;8;0;"???"
